-- Please Select --,-- נא לבחור --
Allowed Scopes,טווח נתונים אפשריים
You need more permissions to apply some of the rule updates.,אתה צריך הרשאות נוספות כדי ליישם חלק מהעדכונים.
"You need more permissions to access website ""%1"".","אתה צריך הרשאה יותר גבוהה כדי לצפות באתר ""1%""."
Role Scopes,טווחי תפקיד
--Please Select--,-- נא לבחור --
Read Details,קרא פרטים
Mark as Read,סמן כנקרא
* Required Fields,* שדות חובה
Messages Inbox,הודעות בתיבת הדואר הנכנס
You have %1 new system messages,יש לך הודעות מערכת חדשות %1
You have %1 new system message,יש לך הודעה מערכת חדשה %1
Incoming Message,הודעה חדשה
close,סגור
The message has been marked as Read.,ההודעה סומנה כהודעה שנקראה.
We couldn't mark the notification as Read because of an error.,אנחנו לא יכול לסמן את ההודעה כהודעה שנקראה עקב שגיאה.
Please select messages.,נא בחר הודעות.
A total of %1 record(s) have been marked as Read.,סך של %1 רשומות סומנו כנקראו.
Total of %1 record(s) have been removed.,"סה""כ %1 רשומות הוסרו."
We couldn't remove the messages because of an error.,אנחנו לא יכולים להסיר את ההודעות עקב שגיאה.
The message has been removed.,ההודעה הוסרה.
You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.,סיימת לטפל בכל התראות המערכת האחרונות. רענן את העמוד כדי לנקות את ההתראות.
1 Hour,שעה אחת
2 Hours,שעתיים
6 Hours,6 שעות
12 Hours,12 שעות
24 Hours,24 שעות
critical,קריטי
major,משמעותי
minor,מינורי
notice,שים לב
Wrong message type,סוג ההודעה אינו נכון
Wrong notification ID specified.,התראה לא נכונה של הID המצוין.
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} אינו מומלץ לשימוש בסביבת פרודקשן להכרזה על כתובת בסיס לא-מאובטחת /כתובת בסיס מאבטחת. מומלץ מאוד לשנות ערך זה ב<a href=""%1""> הגדרות</a> מג'נטו."
One or more of the Cache Types are invalidated: %1. ,אחד או יותר מסוגי Cache תוקפם: %1. 
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","בבקשה ללכת <a href=""%1""> ניהול cacge</a> ולרענן את סוגי הcache."
We were unable to synchronize one or more media files. Please refer to the log file for details.,לא הצלחנו לסינכרון קובץ מדיה אחד או יותר. נא עיין בקובץ הlog לקבלת פרטים.
Synchronization of media storages has been completed.,סינכרון של תיקיית מדיה הושלמה.
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,שרת האינטרנט שלך הוגדר באופן שגוי ומאפשר גישה בלתי מורשית לקבצים רגישים. ' ' אנא פנה לחברת האחסון שלך.
System Messages:,הודעות מערכת:
